"lr_t","edge","lr_rank","svr_t","svr_rank"
-3.7682837593731877,"MTG_L_to_PoCG_L",26,-102.87556767677954,23
-3.7538750145488495,"PoCG_L_to_IFG_opercularis_L",27,-111.79957319324002,13
-3.7092267054302237,"PSMG_L_to_PoCG_L",28,-97.30093582480714,35
-3.708105261175872,"IOG_L_to_RG_L",29,-68.44192332609614,121
-3.6598291513317793,"PrCu_L_to_MFG_DPFC_L",30,-71.29719051892322,110
-3.629000183238221,"PSTG_L_to_PoCG_L",31,-92.99023386284763,47
-3.6200173858830573,"LG_L_to_SMG_L",32,-93.24446902772605,46
-3.6027709427913863,"PSMG_L_to_SMG_L",33,-94.30542728349022,43
-3.5961344766492847,"SMG_L_to_MFG_DPFC_L",34,-102.89838885103619,22
-3.5863838707862903,"Caud_L_to_STG_L_pole",35,-90.95968674309513,52
-3.582210757123406,"IOG_L_to_AG_L",36,-84.37416420802211,63
-3.575535651350591,"Caud_L_to_Cu_L",37,-50.04789841357788,247
-3.5509801774893393,"Caud_L_to_SOG_L",38,-18.996255124650137,463
-3.5296247230937072,"Put_L_to_STG_L_pole",39,-42.373124598424866,315
-3.5239651823683786,"Caud_L_to_AG_L",40,-86.23299413958054,60
-3.470683681659693,"MFG_DPFC_L_to_MFG_L",41,-78.98293326029865,77
-3.456660669854464,"PIns_L_to_MOG_L",42,-56.82078986979824,196
-3.4497608122581465,"PoCG_L_to_MFG_L",43,-94.36404785122679,42
-3.4387872425970194,"Amyg_L_to_IFG_orbitalis_L",44,-49.98634743450093,248
-3.4219029918352697,"PSMG_L_to_rostral_ACC_L",45,-81.78465877129118,71
-3.4201170350664407,"PrCu_L_to_IFG_opercularis_L",46,-67.42314990422796,131
-3.4047603275802922,"IFG_opercularis_L_to_MFG_L",47,-106.22169254718561,19
-3.396656306261534,"Ins_L_to_AG_L",48,-103.99306396443896,21
-3.387054437788653,"SMG_L_to_MFG_L",49,-75.6878034105494,91
-3.38634066151721,"PSMG_L_to_Caud_L",50,-50.48193536784021,242
-3.3799707455722108,"IFG_opercularis_L_to_MFG_DPFC_L",51,-64.82877881708312,149
-3.3654937977555077,"Caud_L_to_PrCu_L",52,-72.61188287111459,104
-3.3613289551048724,"Put_L_to_LG_L",53,-69.76740901994435,115
-3.36039334053084,"MFG_DPFC_L_to_SFG_PFC_L",54,-75.74410237871278,89
-3.356083577602492,"Put_L_to_IOG_L",55,-36.16623016941507,358
-3.3414072405967543,"Put_L_to_MTG_L",56,-37.857491058112274,345
-3.3403107568087833,"MTG_L_pole_to_MFG_L",57,-62.73608641529871,161
-3.335558257617491,"PSMG_L_to_PSTG_L",58,-90.28654864801926,54
-3.322395971136762,"MTG_L_pole_to_PoCG_L",59,-93.66919104822847,45
-3.3002937549421842,"Amyg_L_to_IFG_opercularis_L",60,-91.99072320484733,49
-3.2922367834246584,"Caud_L_to_IOG_L",61,-32.32270689614855,379
-3.287013808455061,"SPG_L_to_IFG_triangularis_L",62,-28.003854488516975,406
-3.273864699566546,"Put_L_to_MOG_L",63,-38.743444294026794,340
-3.270403067626227,"IFG_orbitalis_L_to_IFG_opercularis_L",64,-115.36039371503695,12
-3.2692137100725747,"MOG_L_to_IFG_orbitalis_L",65,-32.38270657357012,377
-3.2667016994389333,"IFG_triangularis_L_to_IFG_orbitalis_L",66,-76.41469197807336,84
-3.245500934607437,"Put_L_to_IFG_triangularis_L",67,-24.804979847307944,431
-3.2424945474287408,"AG_L_to_IFG_triangularis_L",68,-91.19106121300942,50
-3.2405190646928386,"AG_L_to_MFG_L",69,-94.91766637141066,41
-3.2371951840595754,"PSIG_L_to_PrCG_L",70,-127.07247192649561,5
-3.2293354623926946,"ITG_L_to_PoCG_L",71,-98.11377929441443,33
-3.209563111799686,"PSMG_L_to_IFG_triangularis_L",72,-34.06150959445206,369
-3.2083997719896713,"PCC_L_to_IFG_orbitalis_L",73,-21.582490361763625,446
-3.1988944310482887,"ITG_L_to_SMG_L",74,-95.14420975778303,40
-3.1885537283759056,"PSTG_L_to_SMG_L",75,-92.21565192669868,48
-3.1743495027629285,"SOG_L_to_IFG_opercularis_L",76,-84.02225003352751,65
-3.168168351925894,"MTG_L_pole_to_SMG_L",77,-74.426677662188,95
-3.167933839965247,"PCC_L_to_MFG_DPFC_L",78,-71.73696879420943,108
-3.1528353979210553,"PSTG_L_to_SFG_L",79,-96.5759656953103,36
-3.144164605456314,"SMG_L_to_IFG_triangularis_L",80,-118.35229827707379,11
-3.1412493507649786,"MTG_L_pole_to_IFG_opercularis_L",81,-3.237538057095813,570
-3.138166009670392,"Caud_L_to_STG_L",82,-67.51110404204795,130
-3.1287094189353333,"PoCG_L_to_IFG_triangularis_L",83,-102.02567942384744,26
-3.121621226427402,"STG_L_pole_to_SMG_L",84,-78.55986547850372,78
-3.115130756837772,"MTG_L_pole_to_PrCG_L",85,-44.180588029031284,298
-3.109766015167044,"MOG_L_to_LFOG_L",86,-58.17663251812905,189
-3.090215911844096,"STG_L_to_IFG_orbitalis_L",87,-18.368520605171465,472
-3.0895447797836066,"Put_L_to_MTG_L_pole",88,-23.531802313945224,436
-3.085317317687721,"ITG_L_to_PrCG_L",89,-68.30189091850097,125
-3.0852227530862257,"IOG_L_to_IFG_orbitalis_L",90,-31.11648392675257,387
-3.063609778825144,"Caud_L_to_SMG_L",91,-43.58472950586239,305
-3.058736979489719,"PSIG_L_to_SMG_L",92,-107.25956816468529,18
-3.0488021186463548,"IFG_triangularis_L_to_MFG_L",93,-60.966655610178876,171
-3.0375995826955453,"Caud_L_to_SPG_L",94,-82.2013878177,69
-3.0372277937673293,"PSTG_L_to_PIns_L",95,-81.69942902112047,72
-3.032964597051331,"Amyg_L_to_SFG_L",96,-70.07515737485737,114
-3.019130302723493,"IOG_L_to_MFOG_L",97,-69.69587995637937,116
-3.0176933506878445,"PSMG_L_to_MFG_L",98,-75.96974034094794,86
-3.014155350067251,"PrCG_L_to_IFG_orbitalis_L",99,-99.13274649360585,31
-2.9995746964407135,"IFG_orbitalis_L_to_MFG_DPFC_L",100,-65.02419970368624,145
-2.998303779965212,"PSMG_L_to_IFG_opercularis_L",101,-75.73741987840128,90
-2.9916068025578224,"IOG_L_to_SFG_pole_L",102,-80.48075973912279,73
-2.9822336560986558,"PSTG_L_to_MFG_L",103,-28.585712205437105,404
-2.9621383525471536,"PoCG_L_to_IFG_orbitalis_L",104,-108.80853143786483,17
-2.940627139016559,"STG_L_pole_to_IFG_orbitalis_L",105,-11.128352754653966,518
-2.931988164417384,"MOG_L_to_SFG_PFC_L",106,-45.29209214305781,289
-2.9221967809302676,"GP_L_to_Cu_L",107,-51.725582880898564,236
-2.9216401344504934,"Thal_L_to_ITG_L",108,-11.671754810250421,512
-2.9198875256586128,"Ins_L_to_PrCu_L",109,-50.105060852442016,246
-2.9070805198884235,"MOG_L_to_RG_L",110,-21.57409475877997,447
-2.8822509139683303,"MOG_L_to_IFG_opercularis_L",111,-82.52802463385665,68
-2.878729261012862,"PIns_L_to_Put_L",112,-42.1265046312664,320
-2.878420494165047,"PSMG_L_to_RG_L",113,-49.91248335795002,252
-2.8731500961262477,"STG_L_pole_to_PoCG_L",114,-88.69796153933312,57
-2.8605589314177022,"Thal_L_to_MFOG_L",115,-68.42847893865408,123
-2.8590132662569894,"MOG_L_to_STG_L",116,-39.43908183596798,335
-2.853029330089374,"GP_L_to_MOG_L",117,-31.16099871755979,386
-2.838292069756259,"IFG_opercularis_L_to_SFG_L",118,-85.48423722227307,61
-2.825689805099688,"Put_L_to_MFG_DPFC_L",119,-84.9779327451724,62
-2.81858454785281,"PrCG_L_to_LFOG_L",120,-55.8427604396619,203
-2.811671825215694,"PSIG_L_to_MFG_L",121,-72.15315163246544,107
-2.8098000524804383,"Ins_L_to_IOG_L",122,-74.38997981085502,96
-2.7997757676479953,"MOG_L_to_MFG_DPFC_L",123,-49.39982320177663,255
-2.7971720943874607,"Put_L_to_ITG_L",124,-68.72935490151912,120
-2.79554133521223,"MTG_L_to_IFG_orbitalis_L",125,12.038469980702232,665
-2.7944285988570807,"IOG_L_to_SFG_PFC_L",126,-76.39210441815081,85
-2.7786898349649465,"AG_L_to_MFG_DPFC_L",127,-62.21691376672756,164
-2.7636650060778285,"MTG_L_to_MFG_L",128,7.447296243970524,636
-2.7550634653337287,"Thal_L_to_RG_L",129,-53.873839981607084,222
-2.74923631237079,"Caud_L_to_MOG_L",130,-8.947920250571785,533
-2.749187970992782,"STG_L_to_IFG_opercularis_L",131,13.688471860382906,670
-2.7465161726613125,"PSTG_L_to_STG_L",132,-72.85578750045434,103
-2.728622442079999,"PHG_L_to_MFOG_L",133,-74.0420717751012,98
-2.72526454779873,"STG_L_pole_to_IFG_opercularis_L",134,-47.90457858377447,267
-2.709917202943759,"MTG_L_to_SFG_pole_L",135,-64.48716898519349,151
-2.7090100398422927,"PSIG_L_to_PSTG_L",136,-97.90141103967414,34
-2.6976648697846968,"RG_L_to_IFG_opercularis_L",137,-59.07724146495407,182
-2.6952256307518194,"ITG_L_to_AG_L",138,-65.51666046518439,140
-2.6945243869192956,"PSIG_L_to_IFG_opercularis_L",139,-95.64477726743478,39
-2.675924988913012,"PIns_L_to_AG_L",140,-96.30448003476413,37
-2.675462649831994,"Caud_L_to_PrCG_L",141,-73.69145666161623,99
-2.674896610064931,"Ins_L_to_SOG_L",142,-45.75182598212149,284
-2.672530675007863,"MOG_L_to_AG_L",143,-10.14639237573182,525
-2.666369639019975,"SMG_L_to_IFG_orbitalis_L",144,-76.73481861756873,82
-2.664692612783816,"PSIG_L_to_PoCG_L",145,-106.1266442007689,20
-2.659469389038097,"MOG_L_to_MFOG_L",146,-61.64781354752563,169
-2.655901200971438,"MOG_L_to_SFG_pole_L",147,-84.14101001511256,64
-2.654703467330691,"Cu_L_to_MFOG_L",148,-52.11353498995587,233
-2.6481588835686263,"MFG_L_to_SFG_L",149,-72.5367258755525,105
-2.645798097625597,"FuG_L_to_SMG_L",150,-80.21027497251595,74
-2.6424324770168983,"Amyg_L_to_MFG_L",151,-64.86258385313509,148
-2.641933011113072,"SOG_L_to_MFOG_L",152,-41.267994897370556,326
-2.6361682493386343,"Put_L_to_AG_L",153,-54.17863543486157,216
-2.634268318112048,"MOG_L_to_IFG_triangularis_L",154,5.87037395724324,626
-2.6326475152190314,"Cu_L_to_IFG_opercularis_L",155,-26.358460804685347,425
-2.582513160404502,"IOG_L_to_LFOG_L",156,-64.87715248887062,147
-2.5823531770320356,"PHG_L_to_RG_L",157,-77.16673247687088,80
-2.58108856383992,"LFOG_L_to_MFG_L",158,-20.032521015904436,458
-2.580298621078186,"PSTG_L_to_IFG_triangularis_L",159,-54.09882793981552,217
-2.578462373698173,"PSIG_L_to_rostral_ACC_L",160,-43.01328459961746,309
-2.573521317488435,"Ins_L_to_MOG_L",161,-58.81312020529798,184
-2.567445976529368,"LG_L_to_IFG_orbitalis_L",162,-50.38769311120189,244
-2.5643634266959454,"dorsal_ACC_L_to_IFG_orbitalis_L",163,-65.03315910963632,144
-2.5624171985268855,"Cu_L_to_RG_L",164,-18.43324142658949,470
-2.5589811646141474,"AG_L_to_IFG_orbitalis_L",165,-63.296293962907875,157
-2.5507607812238757,"PSTG_L_to_Put_L",166,-26.531353789715514,419
-2.547501975800477,"SOG_L_to_STG_L",167,-16.07040031994094,486
-2.541334558996309,"Amyg_L_to_IFG_triangularis_L",168,2.308335299371172,601
-2.5396288014071327,"GP_L_to_SOG_L",169,-45.12310239714426,293
-2.536187167857033,"PSTG_L_to_IFG_orbitalis_L",170,-42.23206544189307,318
-2.5288857503678694,"Caud_L_to_MTG_L",171,-26.866398832053218,414
-2.525517875274636,"Ins_L_to_PCC_L",172,-32.274581977668014,381
-2.525330489653854,"PSTG_L_to_Ins_L",173,-75.7997310890322,88
-2.5172322328626984,"Ins_L_to_PoCG_L",174,-68.73228341659372,119
-2.5106795023566604,"PCC_L_to_LFOG_L",175,1.0931830970971903,592
-2.499632684616279,"PoCG_L_to_SFG_pole_L",176,-71.1478962838228,111
-2.4945193683766047,"rostral_ACC_L_to_SPG_L",177,-93.89734931593982,44
-2.493075705670446,"dorsal_ACC_L_to_ITG_L",178,-36.906396979647454,351
-2.4822743995364034,"AG_L_to_SFG_pole_L",179,-72.92940955108556,102
-2.4730188208147226,"PSIG_L_to_Caud_L",180,-51.00667014882714,239
-2.4665123384628815,"Cu_L_to_IFG_orbitalis_L",181,-19.71485772630658,461
-2.4584232704861635,"Caud_L_to_ITG_L",182,-57.16849678419352,193
-2.4564575103937365,"PCC_L_to_IFG_opercularis_L",183,-47.55021274642825,270
-2.4542391006072934,"PCC_L_to_IFG_triangularis_L",184,-18.773437029519805,468
-2.4469841339989626,"rostral_ACC_L_to_MTG_L",185,-61.85255882504676,167
-2.4448278653596605,"GP_L_to_IFG_orbitalis_L",186,-36.32444262065552,356
-2.4412045462666017,"MTG_L_pole_to_SFG_PFC_L",187,-20.883560403047213,451
-2.4394470758774642,"PrCG_L_to_SFG_pole_L",188,-67.62431264657103,129
-2.4366497130699214,"Caud_L_to_FuG_L",189,10.52549716674228,657
-2.4327693846175595,"SMG_L_to_LFOG_L",190,-26.457918043457656,423
-2.430565084538309,"MTG_L_to_PrCG_L",191,-1.0608840339972236,582
-2.424820313591359,"PSTG_L_to_MFOG_L",192,-18.83287434534715,465
-2.4204807664169476,"FuG_L_to_PrCG_L",193,-66.60165328408998,135
-2.4200800057592646,"Caud_L_to_LG_L",194,-10.279503972329044,524
-2.4175707770288857,"Thal_L_to_MTG_L",195,9.309391021071526,649
-2.4144272089875205,"ITG_L_to_MFG_L",196,-37.77061070270572,346
-2.4123833224328806,"PSIG_L_to_dorsal_ACC_L",197,-46.365041812089025,278
-2.4106209116649047,"LFOG_L_to_IFG_opercularis_L",198,-66.13442929138476,138
-2.4073191879698967,"MOG_L_to_SMG_L",199,-58.494409065184904,187
-2.4064585776699516,"PSMG_L_to_IFG_orbitalis_L",200,-20.337542767749827,455
-2.390211653044427,"MTG_L_pole_to_SFG_L",201,0.004809745635161209,587
-2.38706331546757,"Hippo_L_to_rostral_ACC_L",202,-52.41831915494619,230
-2.3859346926580804,"AG_L_to_SPG_L",203,5.119727191904982,617
-2.3771940056329215,"SOG_L_to_SFG_pole_L",204,-64.63543307353618,150
-2.3746006095349212,"STG_L_to_RG_L",205,-74.76092373567406,93
-2.373197581470175,"dorsal_ACC_L_to_STG_L_pole",206,-45.52547053780923,287
-2.371940855573101,"FuG_L_to_MFG_L",207,-49.185958046341554,256
-2.3715325326517362,"SMG_L_to_SFG_L",208,-102.42943214333043,25
-2.3644857674390867,"SPG_L_to_MFOG_L",209,-11.318810249703523,517
-2.3610795751042786,"Ins_L_to_Cu_L",210,-32.117132976156,382
-2.3585043703212394,"Thal_L_to_Cu_L",211,-6.278785891747697,551
-2.3564397106827237,"ITG_L_to_MTG_L",212,16.603614037117907,689
-2.3385421305759535,"Put_L_to_SMG_L",213,-29.220207309623042,399
-2.326773690368961,"Put_L_to_SOG_L",214,-11.113798586796513,519
-2.3231365649004396,"FuG_L_to_RG_L",215,-22.787453594756528,440
-2.3198489988727573,"Amyg_L_to_SOG_L",216,0.9738674165404169,591
-2.318872920915628,"AG_L_to_RG_L",217,-57.54476125729994,192
-2.3179456705529846,"Ins_L_to_MFG_L",218,-52.1248779453954,232
-2.285799519830695,"Put_L_to_Hippo_L",219,-67.20523769947253,132
-2.2857258394490136,"PSTG_L_to_SFG_pole_L",220,-68.15533688976639,126
-2.2824960342672918,"PSTG_L_to_IFG_opercularis_L",221,-48.994196381645516,259
-2.282060885632473,"PSIG_L_to_AG_L",222,-55.670664524794255,206
-2.2735466621711105,"ITG_L_to_MFG_DPFC_L",223,-64.41621824305005,152
-2.2632490674330272,"Caud_L_to_MFG_DPFC_L",224,-47.33045074879826,272
-2.2627805091102076,"STG_L_to_MFG_L",225,13.723048398798788,671
-2.2614740850532424,"rostral_ACC_L_to_MOG_L",226,-64.9019549744432,146
-2.2563448335744725,"SOG_L_to_LFOG_L",227,10.254220244315404,655
-2.254253776876562,"FuG_L_to_PoCG_L",228,-96.14124420518635,38
-2.25398085394045,"Thal_L_to_rostral_ACC_L",229,-74.229916129707,97
-2.2509023492045563,"ITG_L_to_STG_L_pole",230,-43.67302252832533,303
-2.246768090380014,"PSTG_L_to_ITG_L",231,-71.12957699655419,112
-2.2378883993454695,"SOG_L_to_IFG_orbitalis_L",232,-7.7827524965783486,539
-2.237573039988173,"Caud_L_to_MFG_L",233,-47.50785671542934,271
-2.2258066325170356,"Put_L_to_Cu_L",234,-26.249837680138153,426
-2.2118713350882473,"STG_L_pole_to_MFG_DPFC_L",235,4.9870603412746695,616
-2.2032615142508094,"Hippo_L_to_SMG_L",236,-73.60770519567482,100
-2.203030653259106,"PSMG_L_to_dorsal_ACC_L",237,-55.96477301851996,202
-2.1965051618842857,"PSMG_L_to_STG_L",238,-26.80965504892604,415
-2.192628051641105,"dorsal_ACC_L_to_IOG_L",239,-43.34989980918487,307
-2.1854911811132363,"PrCu_L_to_IFG_orbitalis_L",240,18.87186569760626,705
-2.184772970321135,"PSMG_L_to_SFG_pole_L",241,-53.9985861689381,219
-2.1823364715866598,"PrCu_L_to_LFOG_L",242,5.713739029284587,622
-2.1819089369892346,"IOG_L_to_IFG_triangularis_L",243,-34.640833812512916,361
-2.179227509562485,"MOG_L_to_MFG_L",244,-47.932162030577494,266
-2.167530770809057,"Caud_L_to_IFG_triangularis_L",245,-44.51880410217065,296
-2.164554243641806,"PSTG_L_to_MFG_DPFC_L",246,-45.24730909804697,290
-2.163959130031337,"PIns_L_to_RG_L",247,-41.273437688702735,325
-2.157754041780622,"IOG_L_to_MFG_L",248,-79.65028704227252,76
-2.1550393605065774,"Put_L_to_FuG_L",249,-19.75274808471125,460
-2.152842180867624,"SMG_L_to_SFG_PFC_L",250,-60.2743909224654,176
-2.1515885756710946,"Caud_L_to_PoCG_L",251,-74.69721290852993,94
-2.151249050302439,"Thal_L_to_Amyg_L",252,-17.12348656906813,480
-2.1487513066369193,"GP_L_to_LFOG_L",253,4.719167856551444,613
-2.1414995126546734,"AG_L_to_LFOG_L",254,-65.43496384847096,142
-2.137560123515838,"FuG_L_to_MFOG_L",255,-40.712023487922195,329
-2.135745254622502,"IFG_triangularis_L_to_MFG_DPFC_L",256,-60.81232089228151,172
-2.132273070644419,"MOG_L_to_SPG_L",257,-58.72159612965992,185
-2.12789368163323,"STG_L_to_MFOG_L",258,-45.88879190391807,282
-2.1214263324962763,"STG_L_to_PrCu_L",259,-0.43072523705214155,584
-2.1201931990396417,"MTG_L_pole_to_STG_L_pole",260,-24.345507623868244,433
-2.115382732048374,"ITG_L_to_IFG_orbitalis_L",261,-26.121337924462132,427
-2.1086780390077795,"Amyg_L_to_dorsal_ACC_L",262,-40.315814771287414,332
-2.10588054731377,"PoCG_L_to_MFOG_L",263,-90.32037772730777,53
-2.105321462820489,"Ins_L_to_SMG_L",264,-75.94266314804163,87
-2.1011627316600743,"ITG_L_to_SFG_PFC_L",265,-71.7323765882833,109
-2.098368932510279,"SMG_L_to_MFOG_L",266,-28.673895960415372,403
-2.097284106189442,"Cu_L_to_STG_L",267,1.5712647566504814,597
-2.095126156725579,"GP_L_to_PrCu_L",268,6.9681529983762776,635
-2.093930072484821,"PSIG_L_to_PSMG_L",269,9.514244019428782,650
-2.091312695924773,"FuG_L_to_IFG_orbitalis_L",270,-27.49307207003897,409
-2.090698334276932,"STG_L_pole_to_AG_L",271,-38.19006327671368,343
-2.090294972955846,"Caud_L_to_Amyg_L",272,-54.64443250182839,211
-2.0902677522456803,"PIns_L_to_Cu_L",273,-12.10575116302986,506
-2.0891247507308206,"Hippo_L_to_LFOG_L",274,-42.365197780253354,316
-2.0878159512738117,"PSTG_L_to_Cu_L",275,-21.981512397570338,444
-2.0845909359088846,"PSTG_L_to_AG_L",276,-60.00763469519687,177
-2.0831600066372613,"STG_L_pole_to_SFG_PFC_L",277,-7.574244099942425,541
-2.082137314455792,"PHG_L_to_IFG_triangularis_L",278,11.70730201927107,662
-2.078451699877076,"SOG_L_to_MFG_DPFC_L",279,12.73079500411727,667
-2.078310184653591,"MOG_L_to_PrCG_L",280,0.8741988299908353,590
-2.0689845672793004,"PSTG_L_to_SOG_L",281,-14.700048630124373,492
-2.068721736714433,"PIns_L_to_PHG_L",282,-32.30383907195055,380
-2.0631664524072657,"Amyg_L_to_MFG_DPFC_L",283,9.302739791594057,648
-2.0571690191616407,"Thal_L_to_MFG_DPFC_L",284,-56.87843511234803,194
-2.055029216536274,"PSMG_L_to_SPG_L",285,-45.85718644522739,283
-2.054596205469141,"FuG_L_to_IFG_opercularis_L",286,-32.08011017560397,383
-2.0542503491176953,"Hippo_L_to_PrCG_L",287,-19.34320073721386,462
-2.052312242558495,"Thal_L_to_SOG_L",288,-32.769787630745896,375
-2.0428509618447737,"PSTG_L_to_PrCu_L",289,-53.05162505189337,226
-2.041256851468535,"PIns_L_to_LG_L",290,-34.19536239628076,368
-2.0369459461990176,"GP_L_to_IOG_L",291,-11.883299942718052,510
-2.0307712125807336,"LG_L_to_RG_L",292,-22.9274860300594,439
-2.030579458116176,"ITG_L_to_MFOG_L",293,-38.18597348387715,344
-2.0135500713616463,"LG_L_to_SFG_pole_L",294,-62.822268624665085,160
-2.007525954843378,"Put_L_to_LFOG_L",295,-1.7019067385606628,578
-2.0031264622371996,"Thal_L_to_Hippo_L",296,-76.45148066052175,83
-2.0030723659040945,"Cu_L_to_SFG_pole_L",297,-58.62762543284291,186
-1.9989506990673176,"PSIG_L_to_LG_L",298,-82.05184602976937,70
-1.9985760413635099,"MFOG_L_to_IFG_triangularis_L",299,2.6134464179329266,602
-1.9976879548701778,"LG_L_to_IFG_opercularis_L",300,-51.840665813818944,235
-1.9943791373550568,"IOG_L_to_STG_L",301,16.299546270746788,686
-1.993598460144829,"Thal_L_to_LFOG_L",302,-36.332372256868275,355
-1.99185977049958,"Caud_L_to_RG_L",303,4.886778822509086,614
-1.9914737648342797,"dorsal_ACC_L_to_SFG_pole_L",304,-59.815150288412454,179
-1.9909051157027822,"IOG_L_to_SPG_L",305,-68.14575624305103,127
-1.9899543267839033,"GP_L_to_MFG_DPFC_L",306,-56.60132340120297,198
-1.981298029879209,"Thal_L_to_SPG_L",307,-47.765265025970166,268
-1.9803978793931252,"ITG_L_to_LFOG_L",308,-52.86914834669012,228
-1.9675223356625653,"Ins_L_to_LG_L",309,-46.03716820073812,281
-1.9646484898652246,"ITG_L_to_SFG_pole_L",310,-86.31253117874557,59
-1.9624079288328027,"Ins_L_to_SPG_L",311,-14.93149925083895,490
-1.96205608783875,"AG_L_to_SFG_PFC_L",312,-43.6362675421523,304
-1.9547286031173117,"MOG_L_to_PoCG_L",313,-18.83200856360931,466
-1.9536549915449788,"MTG_L_pole_to_MFG_DPFC_L",314,1.7591849991009711,599
-1.9527119073578203,"PSMG_L_to_MFOG_L",315,-44.163149402948775,299
-1.951685774956106,"MTG_L_pole_to_IFG_orbitalis_L",316,25.38822378622515,757
-1.9498554438420843,"Caud_L_to_SFG_PFC_L",317,-48.328708641232474,264
-1.9404474640037892,"IOG_L_to_MFG_DPFC_L",318,-40.43886034181714,331
-1.9370114773494431,"SOG_L_to_IFG_triangularis_L",319,-1.5686975560954868,580
-1.9306833033100745,"Cu_L_to_LFOG_L",320,-6.469563030434643,547
-1.9287880876635735,"MTG_L_to_MFOG_L",321,-29.184062243964078,401
-1.925818076920018,"LG_L_to_MFG_L",322,23.095301948284842,735
-1.923593154298667,"IOG_L_to_MTG_L",323,-56.857938621680816,195
-1.9107756652700134,"PIns_L_to_IFG_opercularis_L",324,-50.52729502820563,241
-1.909621873385277,"PHG_L_to_IFG_opercularis_L",325,-6.457460539551166,549
-1.894802810274319,"Hippo_L_to_IFG_orbitalis_L",326,-25.24260593084887,429
-1.8944548620836092,"Ins_L_to_IFG_orbitalis_L",327,-49.64250905349807,253
-1.8922703100800469,"STG_L_to_SFG_pole_L",328,-54.49184111773571,213
-1.8879062336798125,"PSIG_L_to_Hippo_L",329,-62.12239527799188,165
-1.8863385006416753,"Caud_L_to_IFG_orbitalis_L",330,-38.89751505143497,338
-1.8852167645383906,"SPG_L_to_IFG_orbitalis_L",331,6.87092227742346,634
-1.8848800714442537,"PSMG_L_to_ITG_L",332,5.5419067268445055,620
-1.8775126947856402,"Amyg_L_to_PrCG_L",333,-66.86240058234134,134
-1.8613892050482925,"Caud_L_to_MTG_L_pole",334,-8.784387199436809,534
-1.8592787746463693,"SMG_L_to_SPG_L",335,-22.775499188297363,441
-1.8539935746854532,"PIns_L_to_SMG_L",336,-62.05978470676553,166
-1.851609356564802,"rostral_ACC_L_to_ITG_L",337,-59.60473620718284,180
-1.8505614477376378,"MOG_L_to_MTG_L",338,-29.46714464415794,396
-1.8505264990976535,"PSMG_L_to_MTG_L",339,-17.10798851692055,481
-1.8496012931651487,"LG_L_to_MFG_DPFC_L",340,-63.127983011238754,158
-1.8481141757646136,"PIns_L_to_IOG_L",341,-9.236493100130408,532
-1.8447556449498852,"PSIG_L_to_SPG_L",342,-15.659101755577911,487
-1.8439725466939605,"Caud_L_to_PHG_L",343,-40.533298718104774,330
-1.8435378377955336,"GP_L_to_PCC_L",344,2.6596308319718527,603
-1.838558924229589,"IOG_L_to_SMG_L",345,-57.54789960738688,191
-1.8321414564078782,"PIns_L_to_IFG_orbitalis_L",346,16.774612765518743,690
-1.8267048677623285,"Thal_L_to_LG_L",347,-13.611820295222051,497
-1.8231152710418512,"SPG_L_to_LFOG_L",348,17.530703763580664,693
-1.8176947932474732,"Thal_L_to_IFG_orbitalis_L",349,-43.956240198044355,300
